game_id,team1_id,team2_id,map,winner_id,w_score,l_score
10226,115,118,Lotus,118,15,13
10227,119,114,Lotus,114,16,14
10228,119,114,Ascent,114,13,5
10229,111,117,Fracture,117,13,7
10230,111,117,Split,111,13,11
10231,111,117,Lotus,117,13,8
10232,120,116,Pearl,116,13,5
10233,120,116,Haven,116,13,7
10234,114,116,Haven,116,13,5
10235,114,116,Ascent,116,14,12
10236,117,118,Lotus,118,13,6
10237,117,118,Bind,117,13,11
10238,117,118,Ascent,117,13,11
10239,113,116,Bind,116,13,9
10240,113,116,Split,113,13,2
10241,113,116,Lotus,113,13,1
10242,112,117,Bind,117,13,11
10243,112,117,Split,117,13,10
10244,116,118,Split,116,13,9
10245,116,118,Haven,118,13,9
10246,116,118,Lotus,116,13,6
10247,112,114,Pearl,112,13,9
10248,112,114,Ascent,112,13,9
10249,113,117,Lotus,113,14,12
10250,113,117,Bind,113,13,6
10251,112,116,Lotus,116,13,8
10252,112,116,Fracture,116,13,7
10253,117,116,Ascent,117,13,5
10254,117,116,Lotus,117,17,15
10255,117,116,Split,117,13,5
10256,113,117,Lotus,113,13,11
10257,113,117,Ascent,117,14,12
10258,113,117,Haven,117,13,6
10259,113,117,Fracture,117,13,11
10260,121,122,Fracture,121,13,11
10261,121,122,Split,122,14,12
10262,121,122,Ascent,121,14,12
10263,123,124,Split,124,13,11
10264,123,124,Ascent,124,13,5
10265,125,126,Split,125,13,5
10266,125,126,Lotus,126,13,11
10267,125,126,Haven,125,13,11
10268,127,128,Pearl,128,13,11
10269,127,128,Fracture,128,13,9
10270,129,130,Pearl,129,13,11
10271,129,130,Lotus,129,13,4
10272,128,125,Split,128,13,7
10273,128,125,Ascent,125,13,8
10274,128,125,Pearl,125,13,7
10275,129,124,Pearl,129,13,11
10276,129,124,Icebox,124,13,5
10277,129,124,Ascent,124,13,10
10278,130,121,Lotus,130,13,10
10279,130,121,Icebox,130,13,2
10280,126,123,Ascent,123,13,9
10281,126,123,Lotus,126,13,11
10282,126,123,Pearl,126,14,12
10283,127,122,Haven,122,13,9
10284,127,122,Icebox,122,13,5
10285,128,122,Lotus,128,13,7
10286,128,122,Ascent,128,14,12
10287,130,126,Icebox,126,13,10
10288,130,126,Pearl,130,16,14
10289,130,126,Split,126,16,14
10290,129,121,Split,129,14,12
10291,129,121,Ascent,121,13,11
10292,129,121,Pearl,129,13,4
10293,127,123,Pearl,127,13,11
10294,127,123,Ascent,123,13,11
10295,127,123,Fracture,127,13,7
10296,125,124,Split,125,13,9
10297,125,124,Icebox,125,13,4
10298,125,121,Pearl,121,13,6
10299,125,121,Haven,125,13,11
10300,125,121,Ascent,125,13,8
10301,129,126,Pearl,129,13,4
10302,129,126,Icebox,129,13,3
10303,123,122,Ascent,123,13,4
10304,123,122,Split,122,13,11
10305,123,122,Fracture,122,13,5
10306,127,124,Ascent,124,15,13
10307,127,124,Fracture,127,13,7
10308,127,124,Haven,124,13,10
10309,130,128,Pearl,128,13,9
10310,130,128,Ascent,128,13,7
10311,126,121,Pearl,121,13,5
10312,126,121,Fracture,121,13,6
10313,129,122,Icebox,129,15,13
10314,129,122,Haven,122,13,11
10315,129,122,Lotus,122,13,11
10316,127,125,Split,127,13,3
10317,127,125,Haven,125,13,10
10318,127,125,Pearl,125,13,0
10319,128,124,Ascent,128,13,8
10320,128,124,Fracture,128,13,9
10321,130,123,Haven,130,13,10
10322,130,123,Ascent,130,13,4
10323,130,122,Bind,130,13,7
10324,130,122,Fracture,130,13,3
10325,126,124,Pearl,124,13,11
10326,126,124,Split,124,13,7
10327,128,121,Lotus,128,13,4
10328,128,121,Fracture,128,13,6
10329,129,127,Split,127,13,10
10330,129,127,Pearl,129,13,10
10331,129,127,Ascent,127,13,10
10332,125,123,Pearl,123,13,10
10333,125,123,Ascent,125,13,11
10334,125,123,Split,125,13,10
10335,127,121,Fracture,127,13,6
10336,127,121,Pearl,127,13,5
10337,128,126,Split,128,13,5
10338,128,126,Lotus,128,13,4
10339,125,122,Ascent,125,13,5
10340,125,122,Split,125,15,13
10341,129,123,Haven,129,13,4
10342,129,123,Split,129,13,4
10343,130,124,Bind,130,13,11
10344,130,124,Haven,124,13,11
10345,130,124,Pearl,130,13,6
10346,124,122,Pearl,124,13,10
10347,124,122,Fracture,122,13,7
10348,124,122,Haven,122,13,11
10349,127,126,Lotus,127,13,2
10350,127,126,Fracture,127,13,5
10351,123,121,Lotus,121,14,12
10352,123,121,Bind,121,13,10
10353,130,125,Split,130,13,5
10354,130,125,Pearl,130,13,9
10355,129,128,Lotus,128,13,7
10356,129,128,Haven,128,13,4
10357,121,124,Split,121,13,7
10358,121,124,Haven,124,13,5
10359,121,124,Bind,121,19,17
10360,130,127,Bind,130,13,9
10361,130,127,Split,130,13,7
10362,128,123,Lotus,128,15,13
10363,128,123,Ascent,123,13,6
10364,128,123,Split,128,13,9
10365,129,125,Haven,125,13,7
10366,129,125,Ascent,125,13,5
10367,126,122,Fracture,126,13,6
10368,126,122,Pearl,122,14,12
10369,126,122,Lotus,126,13,7
10370,129,124,Ascent,124,13,5
10371,129,124,Pearl,129,20,18
10372,129,124,Bind,124,13,6
10373,130,127,Haven,130,13,11
10374,130,127,Split,127,15,13
10375,130,127,Ascent,127,13,7
10376,125,124,Haven,125,13,4
10377,125,124,Ascent,125,13,5
10378,128,127,Fracture,127,13,5
10379,128,127,Bind,127,13,2
10380,124,130,Bind,130,13,9
10381,124,130,Haven,130,13,10
10382,128,129,Haven,128,13,8
10383,128,129,Lotus,129,13,10
10384,128,129,Ascent,128,13,4
10385,125,127,Fracture,125,13,9
10386,125,127,Ascent,127,13,11
10387,125,127,Bind,125,13,3
10388,128,130,Pearl,128,13,10
10389,128,130,Lotus,130,13,9
10390,128,130,Haven,130,14,12
10391,127,130,Haven,127,13,11
10392,127,130,Ascent,130,13,8
10393,127,130,Lotus,130,13,10
10394,127,130,Split,130,13,4
10395,125,130,Ascent,125,13,9
10396,125,130,Bind,125,13,11
10397,125,130,Fracture,125,13,11
10398,116,127,Split,127,13,5
10399,116,127,Lotus,127,14,12
10400,102,131,Fracture,102,13,10
10401,102,131,Pearl,102,13,7
10402,132,103,Fracture,103,13,10
10403,132,103,Haven,132,13,7
10404,132,103,Pearl,103,14,12
10405,130,112,Ascent,130,13,8
10406,130,112,Lotus,112,14,12
10407,130,112,Split,130,13,6
10408,102,127,Fracture,127,13,5
10409,102,127,Ascent,127,13,9
10410,130,103,Lotus,103,13,11
10411,130,103,Bind,130,13,7
10412,130,103,Pearl,130,13,11
10413,131,116,Haven,131,13,8
10414,131,116,Ascent,116,13,5
10415,131,116,Lotus,116,13,6
10416,112,132,Pearl,132,17,15
10417,112,132,Bind,132,14,12
10418,102,116,Bind,116,13,9
10419,102,116,Fracture,102,13,8
10420,102,116,Haven,102,13,4
10421,103,132,Fracture,132,13,4
10422,103,132,Haven,132,13,6
10423,125,127,Fracture,127,13,7
10424,125,127,Ascent,127,13,5
10425,117,132,Haven,117,13,9
10426,117,132,Split,132,13,8
